Timestamp,Email address,dummy name,Age,Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem,Last Sem CPI
01/08/2024 12:58:08,,Anonymous ,19-25,Female,General,Tertiary (graduation or above),Urban,Below 1 lakh,yes,No,80-90%,80-90%,English,6.99,M.sc.,Regional and private collages,90%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),2 hours or less,No,0 hours,revising the week's study material,revising the whole notes without short notes,home (self),from friends after the class,3,12am or before,yes,almost same as you in study,Single,10.0
03/08/2024 19:46:09,,Gita,19-25,Female,other (PWD),Tertiary (graduation or above),Rural,Below 1 lakh,no,Yes,80-90%,Above 90%,Hindi,7.51,M.sc.,IIT,90%,Other,frequently (almost daily ),missed some homeworks didn't complete,50% (assignments  or class notes only),2 hours or less,Yes,2-4 hours,Netflix and Chill,practice by writting,home (group study),reading from books,Alone (don't study in group),12am or before,no,almost same as you in study,Healthy Relationship,9.085
01/08/2024 21:50:23,,Yana ,19-25,Male,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,yes,No,80-90%,80-90%,English,6.88,B.tech,IIT,70%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),2 hours or less,Yes,1-2 hours,Netflix and Chill,revising the whole notes without short notes,home (self),from youtube or some online platforms,4,1am,yes,better than you in study,Single,10.0
02/08/2024 13:43:10,,Sathya ,19-25,Female,General,Secondary (9-12),Urban,5 - 10 lakh,yes,No,80-90%,80-90%,"Regional languages (like Bangla, Oriya etc)",9.3,M.sc.,Regional and private collages,80%,Hostel room,frequently (almost daily ),2 or more days before due date,50% (assignments  or class notes only),5+,No,5+,Going out side with friends,practice by writting,home (self),reading from books,2,2 am,yes,almost same as you in study,Toxic Relationship,10.0
03/08/2024 19:46:09,,Shruti ,19-25,Male,General,Tertiary (graduation or above),Urban,1 - 2.5 lakh,yes,No,60-70%,80-90%,"Regional languages (like Bangla, Oriya etc)",5.0,B.Ed.,IIT,90%,Hostel room,once in a while,on the due date (night before),80% (Class notes + assignments),2 hours or less,Yes,5+,Netflix and Chill,revising the whole notes without short notes,home (self),from youtube or some online platforms,2,1am,no,almost same as you in study,Healthy Relationship,4.0
03/08/2024 14:20:56,,Manisha,19-25,Male,General,Tertiary (graduation or above),Urban,Below 1 lakh,no,No,80-90%,70-80%,"Regional languages (like Bangla, Oriya etc)",9.73,B.tech,Regional and private collages,90%,Hostel room,frequently (almost daily ),on the due date (night before),80% (Class notes + assignments),2 hours or less,No,2-4 hours,revising the week's study material,summarizing and making short notes,home (group study),from Professor in the class,3,2 am,yes,almost same as you in study,Healthy Relationship,10.0
02/08/2024 13:52:38,,Ankit,0-18,Male,General,Secondary (9-12),Rural,5 - 10 lakh,yes,No,80-90%,70-80%,English,8.66,B.tech,"Reputed University (like BHU, DU etc)",90%,PG room,never,2 or more days before due date,50% (assignments  or class notes only),2 hours or less,Yes,2-4 hours,Netflix and Chill,revising the whole notes without short notes,home (self),from Professor in the class,2,1am,no,almost same as you in study,Healthy Relationship,4.228
01/08/2024 17:16:04,,hemant,19-25,Female,St/Sc,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,no,No,70-80%,60-70%,Hindi,9.73,B.tech,IIT,80%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,50% (assignments  or class notes only),3-5 hours,No,2-4 hours,Going out side with friends,revising the whole notes without short notes,library (self),from Professor in the class,2,12am or before,yes,almost same as you in study,Toxic Relationship,10.0
02/08/2024 11:14:54,,Roshani,0-18,Male,General,Tertiary (graduation or above),Urban,2.5 - 5 lakh,yes,No,80-90%,80-90%,Hindi,9.73,D.el.ed,Regional and private collages,90%,Hostel room,once in a while,on the due date (night before),100% (class notes + assignments + book's que),2 hours or less,Yes,0 hours,almost sleeping all day,practice by writting,home (self),reading from books,3,1am,yes,almost same as you in study,Single,10.0
03/08/2024 17:18:55,,Raman,19-25,Female,General,Secondary (9-12),Urban,5 - 10 lakh,no,Yes,Above 90%,Above 90%,English,6.62,D.el.ed,Regional and private collages,70%,Hostel room,frequently (almost daily ),2 or more days before due date,10% (nothing much),3-5 hours,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,home (self),from friends after the class,3,12am or before,no,almost same as you in study,Toxic Relationship,6.382
01/08/2024 13:02:08,,Priya,19-25,Female,General,Tertiary (graduation or above),Semi-Urban,Below 1 lakh,no,Yes,70-80%,80-90%,Hindi,5.0,B.ed,IIT,70%,Hostel room,frequently (almost daily ),on the due date (night before),50% (assignments  or class notes only),2 hours or less,No,2-4 hours,Going out side with friends,practice by writting,library (self),from Professor in the class,4,12am or before,no,better than you in study,Healthy Relationship,7.159
04/08/2024 09:21:51,,Aher Srujal Bhausaheb,19-25,Female,St/Sc,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,yes,No,Above 90%,80-90%,English,5.14,B.tech,NIT,80%,Hostel room,frequently (almost daily ),missed some homeworks didn't complete,80% (Class notes + assignments),5+,No,0 hours,Netflix and Chill,revising the whole notes without short notes,home (self),from youtube or some online platforms,4,2 am,yes,almost same as you in study,Single,5.27
20/08/2024 22:20:30,,Kajal,19-25,Female,General,Tertiary (graduation or above),Rural,2.5 - 5 lakh,no,Yes,80-90%,70-80%,English,5.0,B.Ed.,"Reputed University (like BHU, DU etc)",90%,Hostel room,frequently (almost daily ),2 or more days before due date,80% (Class notes + assignments),5+,Yes,2-4 hours,almost sleeping all day,revising the whole notes without short notes,library (self),reading from books,4,12am or before,yes,worse than you in study,Healthy Relationship,8.348
